container: vector<int>; size: 100000; operation: std::find; time:45;
container: vector<int>; size: 200000; operation: std::find; time:56;
container: vector<int>; size: 300000; operation: std::find; time:76;
container: vector<int>; size: 400000; operation: std::find; time:98;
container: vector<int>; size: 500000; operation: std::find; time:122;
container: vector<int>; size: 600000; operation: std::find; time:148;
container: vector<int>; size: 700000; operation: std::find; time:186;
container: vector<int>; size: 800000; operation: std::find; time:196;
container: vector<int>; size: 900000; operation: std::find; time:220;
container: vector<int>; size: 1000000; operation: std::find; time:244;

container: list<int>; size: 100000; operation: std::find; time:31;
container: list<int>; size: 200000; operation: std::find; time:61;
container: list<int>; size: 300000; operation: std::find; time:92;
container: list<int>; size: 400000; operation: std::find; time:122;
container: list<int>; size: 500000; operation: std::find; time:153;
container: list<int>; size: 600000; operation: std::find; time:184;
container: list<int>; size: 700000; operation: std::find; time:216;
container: list<int>; size: 800000; operation: std::find; time:246;
container: list<int>; size: 900000; operation: std::find; time:276;
container: list<int>; size: 1000000; operation: std::find; time:312;

container: vector<string>; size: 100000; operation: std::find; time:76;
container: vector<string>; size: 200000; operation: std::find; time:147;
container: vector<string>; size: 300000; operation: std::find; time:225;
container: vector<string>; size: 400000; operation: std::find; time:295;
container: vector<string>; size: 500000; operation: std::find; time:391;
container: vector<string>; size: 600000; operation: std::find; time:453;
container: vector<string>; size: 700000; operation: std::find; time:536;
container: vector<string>; size: 800000; operation: std::find; time:609;
container: vector<string>; size: 900000; operation: std::find; time:687;
container: vector<string>; size: 1000000; operation: std::find; time:729;

container: list<string>; size: 100000; operation: std::find; time:77;
container: list<string>; size: 200000; operation: std::find; time:154;
container: list<string>; size: 300000; operation: std::find; time:232;
container: list<string>; size: 400000; operation: std::find; time:309;
container: list<string>; size: 500000; operation: std::find; time:394;
container: list<string>; size: 600000; operation: std::find; time:472;
container: list<string>; size: 700000; operation: std::find; time:556;
container: list<string>; size: 800000; operation: std::find; time:622;
container: list<string>; size: 900000; operation: std::find; time:703;
container: list<string>; size: 1000000; operation: std::find; time:775;
container: vector<int>; size: 100000; operation: std::sort; time:4;
container: vector<int>; size: 200000; operation: std::sort; time:9;
container: vector<int>; size: 300000; operation: std::sort; time:14;
container: vector<int>; size: 400000; operation: std::sort; time:19;
container: vector<int>; size: 500000; operation: std::sort; time:23;
container: vector<int>; size: 600000; operation: std::sort; time:28;
container: vector<int>; size: 700000; operation: std::sort; time:33;
container: vector<int>; size: 800000; operation: std::sort; time:37;
